scenario,pd_2,qd_2,pd_3,qd_3,pd_4,qd_4,pd_5,qd_5,pd_6,qd_6,pd_7,qd_7,pd_8,qd_8,pd_9,qd_9,pd_10,qd_10,pd_11,qd_11,pd_12,qd_12,pd_13,qd_13,pd_14,qd_14,pd_15,qd_15,pd_16,qd_16,pd_17,qd_17,pd_18,qd_18,pd_19,qd_19,pd_20,qd_20,pd_21,qd_21,pd_22,qd_22,pd_23,qd_23,pd_24,qd_24,pd_25,qd_25,pd_26,qd_26,pd_27,qd_27,pd_28,qd_28,pd_29,qd_29,pd_30,qd_30,pd_31,qd_31,pd_32,qd_32,pd_33,qd_33
1,0.0574063800296926,0.0344438280178156,0.0516657420267233,0.022962552011877,0.0688876560356311,0.0459251040237541,0.0344438280178156,0.0172219140089078,0.0344438280178156,0.0114812760059385,0.114812760059385,0.0574063800296926,0.114812760059385,0.0574063800296926,0.0344438280178156,0.0114812760059385,0.0344438280178156,0.0114812760059385,0.0258328710133617,0.0172219140089078,0.0344438280178156,0.0200922330103924,0.0344438280178156,0.0200922330103924,0.0688876560356311,0.0459251040237541,0.0344438280178156,0.00574063800296926,0.0344438280178156,0.0114812760059385,0.0344438280178156,0.0114812760059385,0.0516657420267233,0.022962552011877,0.0516657420267233,0.022962552011877,0.0516657420267233,0.022962552011877,0.0516657420267233,0.022962552011877,0.0516657420267233,0.022962552011877,0.0516657420267233,0.0287031900148463,0.241106796124709,0.114812760059385,0.241106796124709,0.114812760059385,0.0344438280178156,0.0143515950074232,0.0344438280178156,0.0143515950074232,0.0344438280178156,0.0114812760059385,0.0688876560356311,0.0401844660207848,0.114812760059385,0.344438280178156,0.0861095700445389,0.0401844660207848,0.120553398062354,0.0574063800296926,0.0344438280178156,0.022962552011877
2,0.0437203842666129,0.0262322305599677,0.0393483458399516,0.0174881537066452,0.0524644611199355,0.0349763074132903,0.0262322305599677,0.0131161152799839,0.0262322305599677,0.00874407685332258,0.0874407685332258,0.0437203842666129,0.0874407685332258,0.0437203842666129,0.0262322305599677,0.00874407685332258,0.0262322305599677,0.00874407685332258,0.0196741729199758,0.0131161152799839,0.0262322305599677,0.0153021344933145,0.0262322305599677,0.0153021344933145,0.0524644611199355,0.0349763074132903,0.0262322305599677,0.00437203842666129,0.0262322305599677,0.00874407685332258,0.0262322305599677,0.00874407685332258,0.0393483458399516,0.0174881537066452,0.0393483458399516,0.0174881537066452,0.0393483458399516,0.0174881537066452,0.0393483458399516,0.0174881537066452,0.0393483458399516,0.0174881537066452,0.0393483458399516,0.0218601921333064,0.183625613919774,0.0874407685332258,0.183625613919774,0.0874407685332258,0.0262322305599677,0.0109300960666532,0.0262322305599677,0.0109300960666532,0.0262322305599677,0.00874407685332258,0.0524644611199355,0.030604268986629,0.0874407685332258,0.262322305599677,0.0655805763999193,0.030604268986629,0.0918128069598871,0.0437203842666129,0.0262322305599677,0.0174881537066452
3,0.0671754982479394,0.0403052989487636,0.0604579484231455,0.0268701992991758,0.0806105978975273,0.0537403985983515,0.0403052989487636,0.0201526494743818,0.0403052989487636,0.0134350996495879,0.134350996495879,0.0671754982479394,0.134350996495879,0.0671754982479394,0.0403052989487636,0.0134350996495879,0.0403052989487636,0.0134350996495879,0.0302289742115727,0.0201526494743818,0.0403052989487636,0.0235114243867788,0.0403052989487636,0.0235114243867788,0.0806105978975273,0.0537403985983515,0.0403052989487636,0.00671754982479394,0.0403052989487636,0.0134350996495879,0.0403052989487636,0.0134350996495879,0.0604579484231455,0.0268701992991758,0.0604579484231455,0.0268701992991758,0.0604579484231455,0.0268701992991758,0.0604579484231455,0.0268701992991758,0.0604579484231455,0.0268701992991758,0.0604579484231455,0.0335877491239697,0.282137092641345,0.134350996495879,0.282137092641345,0.134350996495879,0.0403052989487636,0.0167938745619849,0.0403052989487636,0.0167938745619849,0.0403052989487636,0.0134350996495879,0.0806105978975273,0.0470228487735576,0.134350996495879,0.403052989487636,0.100763247371909,0.0470228487735576,0.141068546320673,0.0671754982479394,0.0403052989487636,0.0268701992991758
4,0.0476617795533848,0.0285970677320309,0.0428956015980463,0.0190647118213539,0.0571941354640618,0.0381294236427078,0.0285970677320309,0.0142985338660154,0.0285970677320309,0.00953235591067696,0.0953235591067696,0.0476617795533848,0.0953235591067696,0.0476617795533848,0.0285970677320309,0.00953235591067696,0.0285970677320309,0.00953235591067696,0.0214478007990232,0.0142985338660154,0.0285970677320309,0.0166816228436847,0.0285970677320309,0.0166816228436847,0.0571941354640618,0.0381294236427078,0.0285970677320309,0.00476617795533848,0.0285970677320309,0.00953235591067696,0.0285970677320309,0.00953235591067696,0.0428956015980463,0.0190647118213539,0.0428956015980463,0.0190647118213539,0.0428956015980463,0.0190647118213539,0.0428956015980463,0.0190647118213539,0.0428956015980463,0.0190647118213539,0.0428956015980463,0.0238308897766924,0.200179474124216,0.0953235591067696,0.200179474124216,0.0953235591067696,0.0285970677320309,0.0119154448883462,0.0285970677320309,0.0119154448883462,0.0285970677320309,0.00953235591067696,0.0571941354640618,0.0333632456873694,0.0953235591067696,0.285970677320309,0.0714926693300772,0.0333632456873694,0.100089737062108,0.0476617795533848,0.0285970677320309,0.0190647118213539
5,0.06889725182677,0.041338351096062,0.062007526644093,0.027558900730708,0.082676702192124,0.055117801461416,0.041338351096062,0.020669175548031,0.041338351096062,0.013779450365354,0.13779450365354,0.06889725182677,0.13779450365354,0.06889725182677,0.041338351096062,0.013779450365354,0.041338351096062,0.013779450365354,0.0310037633220465,0.020669175548031,0.041338351096062,0.0241140381393695,0.041338351096062,0.0241140381393695,0.082676702192124,0.055117801461416,0.041338351096062,0.006889725182677,0.041338351096062,0.013779450365354,0.041338351096062,0.013779450365354,0.062007526644093,0.027558900730708,0.062007526644093,0.027558900730708,0.062007526644093,0.027558900730708,0.062007526644093,0.027558900730708,0.062007526644093,0.027558900730708,0.062007526644093,0.034448625913385,0.289368457672434,0.13779450365354,0.289368457672434,0.13779450365354,0.041338351096062,0.0172243129566925,0.041338351096062,0.0172243129566925,0.041338351096062,0.013779450365354,0.082676702192124,0.048228076278739,0.13779450365354,0.41338351096062,0.103345877740155,0.048228076278739,0.144684228836217,0.06889725182677,0.041338351096062,0.027558900730708
6,0.0700825484066426,0.0420495290439856,0.0630742935659783,0.028033019362657,0.0840990580879711,0.0560660387253141,0.0420495290439856,0.0210247645219928,0.0420495290439856,0.0140165096813285,0.140165096813285,0.0700825484066426,0.140165096813285,0.0700825484066426,0.0420495290439856,0.0140165096813285,0.0420495290439856,0.0140165096813285,0.0315371467829892,0.0210247645219928,0.0420495290439856,0.0245288919423249,0.0420495290439856,0.0245288919423249,0.0840990580879711,0.0560660387253141,0.0420495290439856,0.00700825484066426,0.0420495290439856,0.0140165096813285,0.0420495290439856,0.0140165096813285,0.0630742935659783,0.028033019362657,0.0630742935659783,0.028033019362657,0.0630742935659783,0.028033019362657,0.0630742935659783,0.028033019362657,0.0630742935659783,0.028033019362657,0.0630742935659783,0.0350412742033213,0.294346703307899,0.140165096813285,0.294346703307899,0.140165096813285,0.0420495290439856,0.0175206371016607,0.0420495290439856,0.0175206371016607,0.0420495290439856,0.0140165096813285,0.0840990580879711,0.0490577838846498,0.140165096813285,0.420495290439856,0.105123822609964,0.0490577838846498,0.147173351653949,0.0700825484066426,0.0420495290439856,0.028033019362657
7,0.0791459662151661,0.0474875797290997,0.0712313695936495,0.0316583864860664,0.0949751594581993,0.0633167729721329,0.0474875797290997,0.0237437898645498,0.0474875797290997,0.0158291932430332,0.158291932430332,0.0791459662151661,0.158291932430332,0.0791459662151661,0.0474875797290997,0.0158291932430332,0.0474875797290997,0.0158291932430332,0.0356156847968247,0.0237437898645498,0.0474875797290997,0.0277010881753081,0.0474875797290997,0.0277010881753081,0.0949751594581993,0.0633167729721329,0.0474875797290997,0.00791459662151661,0.0474875797290997,0.0158291932430332,0.0474875797290997,0.0158291932430332,0.0712313695936495,0.0316583864860664,0.0712313695936495,0.0316583864860664,0.0712313695936495,0.0316583864860664,0.0712313695936495,0.0316583864860664,0.0712313695936495,0.0316583864860664,0.0712313695936495,0.0395729831075831,0.332413058103698,0.158291932430332,0.332413058103698,0.158291932430332,0.0474875797290997,0.0197864915537915,0.0474875797290997,0.0197864915537915,0.0474875797290997,0.0158291932430332,0.0949751594581993,0.0554021763506163,0.158291932430332,0.474875797290997,0.118718949322749,0.0554021763506163,0.166206529051849,0.0791459662151661,0.0474875797290997,0.0316583864860664
8,0.077983381377341,0.0467900288264046,0.0701850432396069,0.0311933525509364,0.0935800576528092,0.0623867051018728,0.0467900288264046,0.0233950144132023,0.0467900288264046,0.0155966762754682,0.155966762754682,0.077983381377341,0.155966762754682,0.077983381377341,0.0467900288264046,0.0155966762754682,0.0467900288264046,0.0155966762754682,0.0350925216198034,0.0233950144132023,0.0467900288264046,0.0272941834820694,0.0467900288264046,0.0272941834820694,0.0935800576528092,0.0623867051018728,0.0467900288264046,0.0077983381377341,0.0467900288264046,0.0155966762754682,0.0467900288264046,0.0155966762754682,0.0701850432396069,0.0311933525509364,0.0701850432396069,0.0311933525509364,0.0701850432396069,0.0311933525509364,0.0701850432396069,0.0311933525509364,0.0701850432396069,0.0311933525509364,0.0701850432396069,0.0389916906886705,0.327530201784832,0.155966762754682,0.327530201784832,0.155966762754682,0.0467900288264046,0.0194958453443353,0.0467900288264046,0.0194958453443353,0.0467900288264046,0.0155966762754682,0.0935800576528092,0.0545883669641387,0.155966762754682,0.467900288264046,0.116975072066011,0.0545883669641387,0.163765100892416,0.077983381377341,0.0467900288264046,0.0311933525509364
9,0.0591817084392206,0.0355090250635324,0.0532635375952985,0.0236726833756882,0.0710180501270647,0.0473453667513765,0.0355090250635324,0.0177545125317662,0.0355090250635324,0.0118363416878441,0.118363416878441,0.0591817084392206,0.118363416878441,0.0591817084392206,0.0355090250635324,0.0118363416878441,0.0355090250635324,0.0118363416878441,0.0266317687976493,0.0177545125317662,0.0355090250635324,0.0207135979537272,0.0355090250635324,0.0207135979537272,0.0710180501270647,0.0473453667513765,0.0355090250635324,0.00591817084392206,0.0355090250635324,0.0118363416878441,0.0355090250635324,0.0118363416878441,0.0532635375952985,0.0236726833756882,0.0532635375952985,0.0236726833756882,0.0532635375952985,0.0236726833756882,0.0532635375952985,0.0236726833756882,0.0532635375952985,0.0236726833756882,0.0532635375952985,0.0295908542196103,0.248563175444727,0.118363416878441,0.248563175444727,0.118363416878441,0.0355090250635324,0.0147954271098052,0.0355090250635324,0.0147954271098052,0.0355090250635324,0.0118363416878441,0.0710180501270647,0.0414271959074544,0.118363416878441,0.355090250635324,0.0887725626588309,0.0414271959074544,0.124281587722363,0.0591817084392206,0.0355090250635324,0.0236726833756882
10,0.0745425177165883,0.044725510629953,0.0670882659449295,0.0298170070866353,0.0894510212599059,0.0596340141732706,0.044725510629953,0.0223627553149765,0.044725510629953,0.0149085035433177,0.149085035433177,0.0745425177165883,0.149085035433177,0.0745425177165883,0.044725510629953,0.0149085035433177,0.044725510629953,0.0149085035433177,0.0335441329724647,0.0223627553149765,0.044725510629953,0.0260898812008059,0.044725510629953,0.0260898812008059,0.0894510212599059,0.0596340141732706,0.044725510629953,0.00745425177165883,0.044725510629953,0.0149085035433177,0.044725510629953,0.0149085035433177,0.0670882659449295,0.0298170070866353,0.0670882659449295,0.0298170070866353,0.0670882659449295,0.0298170070866353,0.0670882659449295,0.0298170070866353,0.0670882659449295,0.0298170070866353,0.0670882659449295,0.0372712588582942,0.313078574409671,0.149085035433177,0.313078574409671,0.149085035433177,0.044725510629953,0.0186356294291471,0.044725510629953,0.0186356294291471,0.044725510629953,0.0149085035433177,0.0894510212599059,0.0521797624016118,0.149085035433177,0.44725510629953,0.111813776574882,0.0521797624016118,0.156539287204835,0.0745425177165883,0.044725510629953,0.0298170070866353
11,0.0582258833709514,0.0349355300225708,0.0524032950338563,0.0232903533483806,0.0698710600451417,0.0465807066967611,0.0349355300225708,0.0174677650112854,0.0349355300225708,0.0116451766741903,0.116451766741903,0.0582258833709514,0.116451766741903,0.0582258833709514,0.0349355300225708,0.0116451766741903,0.0349355300225708,0.0116451766741903,0.0262016475169281,0.0174677650112854,0.0349355300225708,0.020379059179833,0.0349355300225708,0.020379059179833,0.0698710600451417,0.0465807066967611,0.0349355300225708,0.00582258833709514,0.0349355300225708,0.0116451766741903,0.0349355300225708,0.0116451766741903,0.0524032950338563,0.0232903533483806,0.0524032950338563,0.0232903533483806,0.0524032950338563,0.0232903533483806,0.0524032950338563,0.0232903533483806,0.0524032950338563,0.0232903533483806,0.0524032950338563,0.0291129416854757,0.244548710157996,0.116451766741903,0.244548710157996,0.116451766741903,0.0349355300225708,0.0145564708427379,0.0349355300225708,0.0145564708427379,0.0349355300225708,0.0116451766741903,0.0698710600451417,0.040758118359666,0.116451766741903,0.349355300225708,0.0873388250564271,0.040758118359666,0.122274355078998,0.0582258833709514,0.0349355300225708,0.0232903533483806
12,0.0918553035095885,0.0551131821057531,0.0826697731586297,0.0367421214038354,0.110226364211506,0.0734842428076708,0.0551131821057531,0.0275565910528765,0.0551131821057531,0.0183710607019177,0.183710607019177,0.0918553035095885,0.183710607019177,0.0918553035095885,0.0551131821057531,0.0183710607019177,0.0551131821057531,0.0183710607019177,0.0413348865793148,0.0275565910528765,0.0551131821057531,0.032149356228356,0.0551131821057531,0.032149356228356,0.110226364211506,0.0734842428076708,0.0551131821057531,0.00918553035095885,0.0551131821057531,0.0183710607019177,0.0551131821057531,0.0183710607019177,0.0826697731586297,0.0367421214038354,0.0826697731586297,0.0367421214038354,0.0826697731586297,0.0367421214038354,0.0826697731586297,0.0367421214038354,0.0826697731586297,0.0367421214038354,0.0826697731586297,0.0459276517547943,0.385792274740272,0.183710607019177,0.385792274740272,0.183710607019177,0.0551131821057531,0.0229638258773971,0.0551131821057531,0.0229638258773971,0.0551131821057531,0.0183710607019177,0.110226364211506,0.064298712456712,0.183710607019177,0.551131821057531,0.137782955264383,0.064298712456712,0.192896137370136,0.0918553035095885,0.0551131821057531,0.0367421214038354
13,0.0407146853209409,0.0244288111925645,0.0366432167888468,0.0162858741283764,0.0488576223851291,0.0325717482567527,0.0244288111925645,0.0122144055962823,0.0244288111925645,0.00814293706418818,0.0814293706418818,0.0407146853209409,0.0814293706418818,0.0407146853209409,0.0244288111925645,0.00814293706418818,0.0244288111925645,0.00814293706418818,0.0183216083944234,0.0122144055962823,0.0244288111925645,0.0142501398623293,0.0244288111925645,0.0142501398623293,0.0488576223851291,0.0325717482567527,0.0244288111925645,0.00407146853209409,0.0244288111925645,0.00814293706418818,0.0244288111925645,0.00814293706418818,0.0366432167888468,0.0162858741283764,0.0366432167888468,0.0162858741283764,0.0366432167888468,0.0162858741283764,0.0366432167888468,0.0162858741283764,0.0366432167888468,0.0162858741283764,0.0366432167888468,0.0203573426604705,0.171001678347952,0.0814293706418818,0.171001678347952,0.0814293706418818,0.0244288111925645,0.0101786713302352,0.0244288111925645,0.0101786713302352,0.0244288111925645,0.00814293706418818,0.0488576223851291,0.0285002797246586,0.0814293706418818,0.244288111925645,0.0610720279814113,0.0285002797246586,0.0855008391739759,0.0407146853209409,0.0244288111925645,0.0162858741283764
14,0.0520216372567559,0.0312129823540535,0.0468194735310803,0.0208086549027024,0.0624259647081071,0.0416173098054047,0.0312129823540535,0.0156064911770268,0.0312129823540535,0.0104043274513512,0.104043274513512,0.0520216372567559,0.104043274513512,0.0520216372567559,0.0312129823540535,0.0104043274513512,0.0312129823540535,0.0104043274513512,0.0234097367655402,0.0156064911770268,0.0312129823540535,0.0182075730398646,0.0312129823540535,0.0182075730398646,0.0624259647081071,0.0416173098054047,0.0312129823540535,0.00520216372567559,0.0312129823540535,0.0104043274513512,0.0312129823540535,0.0104043274513512,0.0468194735310803,0.0208086549027024,0.0468194735310803,0.0208086549027024,0.0468194735310803,0.0208086549027024,0.0468194735310803,0.0208086549027024,0.0468194735310803,0.0208086549027024,0.0468194735310803,0.026010818628378,0.218490876478375,0.104043274513512,0.218490876478375,0.104043274513512,0.0312129823540535,0.013005409314189,0.0312129823540535,0.013005409314189,0.0312129823540535,0.0104043274513512,0.0624259647081071,0.0364151460797291,0.104043274513512,0.312129823540535,0.0780324558851339,0.0364151460797291,0.109245438239187,0.0520216372567559,0.0312129823540535,0.0208086549027024
15,0.0557395706801826,0.0334437424081096,0.0501656136121643,0.022295828272073,0.0668874848162191,0.0445916565441461,0.0334437424081096,0.0167218712040548,0.0334437424081096,0.0111479141360365,0.111479141360365,0.0557395706801826,0.111479141360365,0.0557395706801826,0.0334437424081096,0.0111479141360365,0.0334437424081096,0.0111479141360365,0.0250828068060822,0.0167218712040548,0.0334437424081096,0.0195088497380639,0.0334437424081096,0.0195088497380639,0.0668874848162191,0.0445916565441461,0.0334437424081096,0.00557395706801826,0.0334437424081096,0.0111479141360365,0.0334437424081096,0.0111479141360365,0.0501656136121643,0.022295828272073,0.0501656136121643,0.022295828272073,0.0501656136121643,0.022295828272073,0.0501656136121643,0.022295828272073,0.0501656136121643,0.022295828272073,0.0501656136121643,0.0278697853400913,0.234106196856767,0.111479141360365,0.234106196856767,0.111479141360365,0.0334437424081096,0.0139348926700457,0.0334437424081096,0.0139348926700457,0.0334437424081096,0.0111479141360365,0.0668874848162191,0.0390176994761278,0.111479141360365,0.334437424081096,0.0836093560202739,0.0390176994761278,0.117053098428383,0.0557395706801826,0.0334437424081096,0.022295828272073
16,0.072777747766982,0.0436666486601892,0.0654999729902838,0.0291110991067928,0.0873332973203784,0.0582221982135856,0.0436666486601892,0.0218333243300946,0.0436666486601892,0.0145555495533964,0.145555495533964,0.072777747766982,0.145555495533964,0.072777747766982,0.0436666486601892,0.0145555495533964,0.0436666486601892,0.0145555495533964,0.0327499864951419,0.0218333243300946,0.0436666486601892,0.0254722117184437,0.0436666486601892,0.0254722117184437,0.0873332973203784,0.0582221982135856,0.0436666486601892,0.0072777747766982,0.0436666486601892,0.0145555495533964,0.0436666486601892,0.0145555495533964,0.0654999729902838,0.0291110991067928,0.0654999729902838,0.0291110991067928,0.0654999729902838,0.0291110991067928,0.0654999729902838,0.0291110991067928,0.0654999729902838,0.0291110991067928,0.0654999729902838,0.036388873883491,0.305666540621324,0.145555495533964,0.305666540621324,0.145555495533964,0.0436666486601892,0.0181944369417455,0.0436666486601892,0.0181944369417455,0.0436666486601892,0.0145555495533964,0.0873332973203784,0.0509444234368874,0.145555495533964,0.436666486601892,0.109166621650473,0.0509444234368874,0.152833270310662,0.072777747766982,0.0436666486601892,0.0291110991067928
17,0.0830624023199031,0.0498374413919419,0.0747561620879128,0.0332249609279612,0.0996748827838837,0.0664499218559225,0.0498374413919419,0.0249187206959709,0.0498374413919419,0.0166124804639806,0.166124804639806,0.0830624023199031,0.166124804639806,0.0830624023199031,0.0498374413919419,0.0166124804639806,0.0498374413919419,0.0166124804639806,0.0373780810439564,0.0249187206959709,0.0498374413919419,0.0290718408119661,0.0498374413919419,0.0290718408119661,0.0996748827838837,0.0664499218559225,0.0498374413919419,0.00830624023199031,0.0498374413919419,0.0166124804639806,0.0498374413919419,0.0166124804639806,0.0747561620879128,0.0332249609279612,0.0747561620879128,0.0332249609279612,0.0747561620879128,0.0332249609279612,0.0747561620879128,0.0332249609279612,0.0747561620879128,0.0332249609279612,0.0747561620879128,0.0415312011599515,0.348862089743593,0.166124804639806,0.348862089743593,0.166124804639806,0.0498374413919419,0.0207656005799758,0.0498374413919419,0.0207656005799758,0.0498374413919419,0.0166124804639806,0.0996748827838837,0.0581436816239322,0.166124804639806,0.498374413919419,0.124593603479855,0.0581436816239322,0.174431044871797,0.0830624023199031,0.0498374413919419,0.0332249609279612
